time,vehicle1,vehicle2,bbox1,bbox2,frame_path
2025-09-19 00:59:15,1,3,"(366.2082824707031, 151.780517578125, 557.0309448242188, 265.4935607910156)","(315.684326171875, 141.3197784423828, 454.0401611328125, 247.97561645507812)",collision_frames/2025-09-19_00-59-15.jpg
2025-09-19 00:59:18,3,11,"(312.5652160644531, 148.65969848632812, 446.3689270019531, 250.2759246826172)","(313.34881591796875, 156.67837524414062, 388.72662353515625, 250.68397521972656)",collision_frames/2025-09-19_00-59-18.jpg
2025-09-19 01:02:13,3,15,"(286.5382385253906, 141.5723419189453, 464.65625, 255.42897033691406)","(287.03497314453125, 164.1894989013672, 384.8871154785156, 260.723876953125)",collision_frames/2025-09-19_01-02-13.jpg
2025-09-19 01:02:14,11,15,"(320.09649658203125, 178.70748901367188, 380.98724365234375, 261.4195556640625)","(287.03497314453125, 164.1894989013672, 384.8871154785156, 260.723876953125)",collision_frames/2025-09-19_01-02-14.jpg
